genus,Substrate,name,seq.name,exp_ID,totalFunctionalAbun,relative_abun,cum_prop,stage,retting_type,rettingPeriod,treatment
Sphingomonas,Hemicellulose-Xylan,Otu0004,SRR7969090,PRJNA494847,46950736,0.10948406572845358,0.8070629508110019,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0005,SRR7969090,PRJNA494847,30781740,0.07177970640111304,0.878842657212115,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969090,PRJNA494847,93309656,0.3662498686908817,0.3662498686908817,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969090,PRJNA494847,47972204,0.18829576883031474,0.5545456375211965,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969090,PRJNA494847,35457716,0.13917513348327612,0.6937207710044726,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0004,SRR7969090,PRJNA494847,30379888,0.11924414329470569,0.8129649142991783,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,SRR7969090,PRJNA494847,19588380,0.0768863792924828,0.889851293591661,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969090,PRJNA494847,195102008,0.34690612767770757,0.34690612767770757,early,dew,R1,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969090,PRJNA494847,116503924,0.20715278919168242,0.55405891686939,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969090,PRJNA494847,86111596,0.15311293114167832,0.7071718480110682,early,dew,R1,Low Moisture
Sphingomonas,Pectin,Otu0004,SRR7969090,PRJNA494847,63521584,0.11294618110436991,0.8201180291154382,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0005,SRR7969090,PRJNA494847,39176760,0.06965924259764106,0.8897772717130793,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969091,PRJNA494847,76936080,0.29496950865181065,0.29496950865181065,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969091,PRJNA494847,50057952,0.19191996142194823,0.4868894700737589,early,dew,R2,Low Moisture
Sphingomonas,Cellulose,Otu0004,SRR7969091,PRJNA494847,46161648,0.17698170519108639,0.6638711752648453,early,dew,R2,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969091,PRJNA494847,19991966.4,0.07664830994757606,0.7405194852124213,early,dew,R2,Low Moisture
Sphingomonas,Cellulose,Otu0005,SRR7969091,PRJNA494847,19588380,0.07510097764124393,0.8156204628536653,early,dew,R2,Low Moisture
Sphingomonas,Cellulose,Otu0003,SRR7969091,PRJNA494847,17877840,0.06854284336498151,0.8841633062186468,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0004,SRR7969091,PRJNA494847,35508960,0.4410451004051338,0.4410451004051338,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Galactomannan,Otu0004,SRR7969091,PRJNA494847,21305376,0.2646270602430803,0.7056721606482141,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969091,PRJNA494847,162688344,0.33691220549678785,0.33691220549678785,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969091,PRJNA494847,100608720,0.20835116342083357,0.5452633689176214,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0004,SRR7969091,PRJNA494847,60365232,0.12501069805250015,0.6702740669701216,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969091,PRJNA494847,58102980,0.12032578767742422,0.7905998546475458,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0005,SRR7969091,PRJNA494847,43094436,0.08924450959682871,0.8798443642443745,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969091,PRJNA494847,87601416,0.3112745267006694,0.3112745267006694,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969091,PRJNA494847,65099760,0.2313192857787501,0.5425938124794195,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0004,SRR7969091,PRJNA494847,39059856,0.13879157146725005,0.6813853839466696,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969091,PRJNA494847,31286220,0.11116947382166766,0.7925548577683372,early,dew,R2,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0005,SRR7969091,PRJNA494847,27423732,0.09744487690319986,0.889999734671537,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969091,PRJNA494847,212746296,0.3361199112794046,0.3361199112794046,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969091,PRJNA494847,136117680,0.2150536267158249,0.5511735379952295,early,dew,R2,Low Moisture
Sphingomonas,Pectin,Otu0004,SRR7969091,PRJNA494847,81670608,0.12903217602949493,0.6802057140247244,early,dew,R2,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969091,PRJNA494847,75980820,0.12004282545693022,0.8002485394816546,early,dew,R2,Low Moisture
Sphingomonas,Pectin,Otu0005,SRR7969091,PRJNA494847,54847464,0.0866540338431102,0.8869025733247649,early,dew,R2,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969092,PRJNA494847,76936080,0.25959200756141904,0.25959200756141904,early,dew,R1,Low Moisture
Sphingomonas,Cellulose,Otu0004,SRR7969092,PRJNA494847,64113400,0.2163266729678492,0.4759186805292682,early,dew,R1,Low Moisture
Pseudomonadaceae unclassified,Cellulose,Otu0001,SRR7969092,PRJNA494847,31415947.2,0.1060013559709767,0.5819200365002449,early,dew,R1,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969092,PRJNA494847,28559952,0.09636486906452427,0.6782849055647692,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969092,PRJNA494847,25028976,0.08445091206942926,0.7627358176341984,early,dew,R1,Low Moisture
Sphingomonas,Cellulose,Otu0003,SRR7969092,PRJNA494847,21453408,0.0723864960595108,0.8351223136937093,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0005,SRR7969092,PRJNA494847,16790040,0.05665170607388013,0.8917740197675894,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0004,SRR7969092,PRJNA494847,35508960,0.2842186530580201,0.2842186530580201,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Galactomannan,Otu0004,SRR7969092,PRJNA494847,29590800,0.23684887754835007,0.5210675306063701,early,dew,R1,Low Moisture
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969092,PRJNA494847,27925286.4,0.2235178751184897,0.7445854057248599,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969092,PRJNA494847,100608720,0.2277110412548484,0.2277110412548484,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0004,SRR7969092,PRJNA494847,83840600,0.18975920104570698,0.4174702423005554,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969092,PRJNA494847,81344172,0.1841089530423753,0.6015791953429307,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969092,PRJNA494847,69723576,0.15780767403632168,0.7593868693792524,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0005,SRR7969092,PRJNA494847,36938088,0.08360319543319128,0.8429900648124437,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0005,SRR7969092,PRJNA494847,18469044,0.04180159771659564,0.8847916625290393,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969092,PRJNA494847,65099760,0.24952489286760438,0.2495248928676044,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0004,SRR7969092,PRJNA494847,54249800,0.20793741072300365,0.4574623035906081,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969092,PRJNA494847,43800708,0.16788644030677258,0.6253487438973807,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969092,PRJNA494847,37543464,0.14390266312009078,0.7692514070174715,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,SRR7969092,PRJNA494847,23506056,0.09009781457166523,0.8593492215891367,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969092,PRJNA494847,136117680,0.23450187895284996,0.23450187895285,early,dew,R1,Low Moisture
Sphingomonas,Pectin,Otu0004,SRR7969092,PRJNA494847,113431400,0.1954182324607083,0.42992011141355835,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969092,PRJNA494847,106373148,0.18325836200065704,0.6131784734142154,early,dew,R1,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969092,PRJNA494847,91176984,0.15707859600056318,0.7702570694147786,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0005,SRR7969092,PRJNA494847,47012112,0.08099189317318532,0.8512489625879639,early,dew,R1,Low Moisture
Sphingomonas,Pectin,Otu0005,SRR7969092,PRJNA494847,23506056,0.04049594658659266,0.8917449091745566,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969093,PRJNA494847,41714960,0.36963286417104,0.36963286417104,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969093,PRJNA494847,33338968,0.29541388102365795,0.665046745194698,late,dew,R6,Low Moisture
Aureimonas,Cellulose,Otu0006,SRR7969093,PRJNA494847,7043664,0.06241333321615182,0.7274600784108498,late,dew,R6,Low Moisture
Sphingomonas,Cellulose,Otu0003,SRR7969093,PRJNA494847,5959280,0.05280469488157715,0.7802647732924269,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0005,SRR7969093,PRJNA494847,4663900,0.04132643817007888,0.8215912114625058,late,dew,R6,Low Moisture
Hymenobacter,Cellulose,Otu0022,SRR7969093,PRJNA494847,3538260,0.03135223377852512,0.8529434452410309,late,dew,R6,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969093,PRJNA494847,2855995.2,0.02530674093502049,0.8782501861760514,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0004,SRR7969093,PRJNA494847,15387216,0.5366900432178876,0.5366900432178876,late,dew,R6,Low Moisture
Aureimonas,Hemicellulose-Galactomannan,Otu0006,SRR7969093,PRJNA494847,3521832,0.12283782643241895,0.6595278696503065,late,dew,R6,Low Moisture
Hymenobacter,Hemicellulose-Galactomannan,Otu0022,SRR7969093,PRJNA494847,2573280,0.08975332213518845,0.749281191785495,late,dew,R6,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969093,PRJNA494847,2538662.4,0.08854589635783539,0.8378270881433304,late,dew,R6,Low Moisture
Methylobacterium,Hemicellulose-Galactomannan,Otu0011,SRR7969093,PRJNA494847,1310202,0.045698479049372076,0.8835255671927025,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969093,PRJNA494847,135573620,0.5615121499822799,0.56151214998228,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969093,PRJNA494847,43597112,0.18056837378937182,0.7420805237716519,late,dew,R6,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969093,PRJNA494847,19367660,0.08021602142604,0.8222965451976919,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0005,SRR7969093,PRJNA494847,10260580,0.04249676549069931,0.8647933106883913,late,dew,R6,Low Moisture
Aureimonas,Hemicellulose-Xylan,Otu0006,SRR7969093,PRJNA494847,7043664,0.029173101053086774,0.8939664117414781,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969093,PRJNA494847,73001180,0.5279933705390789,0.527993370539079,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969093,PRJNA494847,28209896,0.20403283990199722,0.7320262104410763,late,dew,R6,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969093,PRJNA494847,10428740,0.07542762436272557,0.8074538348038018,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,SRR7969093,PRJNA494847,6529460,0.047225422838371854,0.8546792576421737,late,dew,R6,Low Moisture
Aureimonas,Hemicellulose-Xyoglucan,Otu0006,SRR7969093,PRJNA494847,3521832,0.025472245080865617,0.8801515027230393,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969093,PRJNA494847,177288580,0.5650628627987855,0.5650628627987855,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969093,PRJNA494847,58984328,0.18799774491928672,0.7530606077180722,late,dew,R6,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969093,PRJNA494847,25326940,0.08072326611411221,0.8337838738321844,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0005,SRR7969093,PRJNA494847,13058920,0.041622030704179115,0.8754059045363636,late,dew,R6,Low Moisture
Aureimonas,Pectin,Otu0006,SRR7969093,PRJNA494847,7043664,0.02244991157598952,0.8978558161123531,late,dew,R6,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969094,PRJNA494847,71807008,0.3074954451175451,0.3074954451175451,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969094,PRJNA494847,51249808,0.21946440830884814,0.5269598534263933,middle,dew,R5,Low Moisture
Sphingomonas,Cellulose,Otu0003,SRR7969094,PRJNA494847,21453408,0.09186882208277364,0.6188286755091669,middle,dew,R5,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969094,PRJNA494847,20943964.8,0.08968725975467738,0.7085159352638443,middle,dew,R5,Low Moisture
Sphingomonas,Cellulose,Otu0004,SRR7969094,PRJNA494847,20516288,0.08785584146215575,0.796371776726,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0005,SRR7969094,PRJNA494847,9327800,0.039943956625618456,0.8363157333516185,middle,dew,R5,Low Moisture
Pseudomonadaceae unclassified,Cellulose,Otu0001,SRR7969094,PRJNA494847,7615987.2,0.03261354900170087,0.8689292823533193,middle,dew,R5,Low Moisture
Hymenobacter,Cellulose,Otu0022,SRR7969094,PRJNA494847,6015042,0.02575790398049629,0.8946871863338156,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0004,SRR7969094,PRJNA494847,33141696,0.4175528132192701,0.4175528132192701,middle,dew,R5,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969094,PRJNA494847,18616857.6,0.23455411769459686,0.652106930913867,middle,dew,R5,Low Moisture
Sphingomonas,Hemicellulose-Galactomannan,Otu0004,SRR7969094,PRJNA494847,9469056,0.11930080377693432,0.7714077346908013,middle,dew,R5,Low Moisture
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969094,PRJNA494847,6769766.4,0.08529240643439885,0.8567001411252002,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969094,PRJNA494847,166561876,0.38559919276777577,0.38559919276777577,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969094,PRJNA494847,93901472,0.21738667138274725,0.602985864150523,middle,dew,R5,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969094,PRJNA494847,69723576,0.16141361557720846,0.7643994797277315,middle,dew,R5,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0004,SRR7969094,PRJNA494847,26828992,0.06211047753792779,0.8265099572656592,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0005,SRR7969094,PRJNA494847,20521160,0.04750752645616437,0.8740174837218236,middle,dew,R5,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0005,SRR7969094,PRJNA494847,8208464,0.01900301058246575,0.8930204943042894,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969094,PRJNA494847,89687164,0.3584920360292429,0.3584920360292429,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969094,PRJNA494847,60759776,0.24286525334796769,0.6013572893772106,middle,dew,R5,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969094,PRJNA494847,37543464,0.1500664336866598,0.7514237230638704,middle,dew,R5,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0004,SRR7969094,PRJNA494847,17359936,0.06939007238513362,0.820813795449004,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0005,SRR7969094,PRJNA494847,13058920,0.052198314790542384,0.8730121102395464,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969094,PRJNA494847,217811684,0.3861205004248924,0.3861205004248924,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969094,PRJNA494847,127043168,0.22521276500356918,0.6113332654284616,middle,dew,R5,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969094,PRJNA494847,91176984,0.16163183738716425,0.7729651028156258,middle,dew,R5,Low Moisture
Sphingomonas,Pectin,Otu0004,SRR7969094,PRJNA494847,36298048,0.06434650428673405,0.8373116071023599,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0005,SRR7969094,PRJNA494847,26117840,0.04629978183731076,0.8836113889396706,middle,dew,R5,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969095,PRJNA494847,69242472,0.3164248401900137,0.3164248401900137,early,dew,R3,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969095,PRJNA494847,39983932.8,0.1827189177533732,0.49914375794338695,early,dew,R3,Low Moisture
Sphingomonas,Cellulose,Otu0004,SRR7969095,PRJNA494847,35903504,0.1640721393577849,0.6632158973011718,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969095,PRJNA494847,25028976,0.11437762838564874,0.7775935256868205,early,dew,R3,Low Moisture
Pseudomonadaceae unclassified,Cellulose,Otu0001,SRR7969095,PRJNA494847,21895963.2,0.10006035972208532,0.8776538854089059,early,dew,R3,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969095,PRJNA494847,35541273.6,0.33423219594839343,0.33423219594839343,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0004,SRR7969095,PRJNA494847,31958064,0.3005354852837715,0.634767681232165,early,dew,R3,Low Moisture
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969095,PRJNA494847,19463078.4,0.1830319168288821,0.8177995980610471,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969095,PRJNA494847,90547848,0.30430569743543306,0.3043056974354331,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969095,PRJNA494847,81344172,0.2733747464961047,0.577680443931538,early,dew,R3,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0004,SRR7969095,PRJNA494847,46950736,0.15778813941096528,0.7354685833425032,early,dew,R3,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969095,PRJNA494847,38735320,0.13017845071243084,0.865647034054934,early,dew,R3,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Xylan,Otu0001,SRR7969095,PRJNA494847,8885318.4,0.029861041122124583,0.8955080751770587,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969095,PRJNA494847,58589784,0.3448424390176714,0.3448424390176714,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969095,PRJNA494847,43800708,0.2577982362491869,0.6026406752668583,early,dew,R3,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0004,SRR7969095,PRJNA494847,30379888,0.17880719060175554,0.7814478658686139,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969095,PRJNA494847,122505912,0.31495366060589286,0.31495366060589286,early,dew,R3,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969095,PRJNA494847,106373148,0.2734775147241254,0.5884311753300182,early,dew,R3,Low Moisture
Sphingomonas,Pectin,Otu0004,SRR7969095,PRJNA494847,63521584,0.16330930549935185,0.7517404808293702,early,dew,R3,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969095,PRJNA494847,50653880,0.13022738796386923,0.8819678687932393,early,dew,R3,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969096,PRJNA494847,43791926.4,0.3632792501939378,0.3632792501939378,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969096,PRJNA494847,25028976,0.20762977064197077,0.5709090208359086,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969096,PRJNA494847,20516288,0.17019442472854732,0.7411034455644558,middle,dew,R4,Low Moisture
Pseudomonadaceae unclassified,Cellulose,Otu0001,SRR7969096,PRJNA494847,12375979.2,0.10266587505480851,0.8437693206192645,middle,dew,R4,Low Moisture
Hymenobacter,Cellulose,Otu0022,SRR7969096,PRJNA494847,6015042,0.04989823758118675,0.8936675582004512,middle,dew,R4,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969096,PRJNA494847,38926156.8,0.5921034392260766,0.5921034392260766,middle,dew,R4,Low Moisture
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969096,PRJNA494847,11000870.4,0.16733358065084772,0.7594370198769242,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969096,PRJNA494847,81344172,0.511990601008406,0.511990601008406,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969096,PRJNA494847,26828992,0.16886509999179433,0.6808557010002003,middle,dew,R4,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969096,PRJNA494847,19367660,0.12190252404962047,0.8027582250498208,middle,dew,R4,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Xylan,Otu0001,SRR7969096,PRJNA494847,9731539.2,0.06125154981901914,0.8640097748688399,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969096,PRJNA494847,43800708,0.5211912410188648,0.5211912410188648,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969096,PRJNA494847,17359936,0.2065685008527275,0.7277597418715923,middle,dew,R4,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969096,PRJNA494847,10428740,0.12409315262353923,0.8518528944951316,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0003,SRR7969096,PRJNA494847,106373148,0.5195144069058448,0.5195144069058448,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Pectin,Otu0004,SRR7969096,PRJNA494847,36298048,0.1772755552797957,0.6967899621856405,middle,dew,R4,Low Moisture
Sphingomonas,Pectin,Otu0003,SRR7969096,PRJNA494847,25326940,0.12369390640615353,0.820483868591794,middle,dew,R4,Low Moisture
Hymenobacter,Pectin,Otu0022,SRR7969096,PRJNA494847,10936440,0.05341233428817353,0.8738962028799676,middle,dew,R4,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0004,SRR7969097,PRJNA494847,38468040,0.32214200833144185,0.32214200833144185,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Cellulose,Otu0003,SRR7969097,PRJNA494847,16685984,0.13973304584133492,0.46187505417277674,early,dew,R1,Low Moisture
Pseudomonadaceae unclassified,Cellulose,Otu0001,SRR7969097,PRJNA494847,16183972.8,0.13552906518173083,0.5974041193545077,early,dew,R1,Low Moisture
Sphingomonas,Cellulose,Otu0004,SRR7969097,PRJNA494847,15387216,0.12885680333257674,0.7262609226870843,early,dew,R1,Low Moisture
Gammaproteobacteria unclassified,Cellulose,Otu0001,SRR7969097,PRJNA494847,13327977.6,0.11161217132613126,0.8378730940132156,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0004,SRR7969097,PRJNA494847,17754480,0.3267594885585238,0.3267594885585238,early,dew,R1,Low Moisture
Pseudomonadaceae unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969097,PRJNA494847,14385753.6,0.2647603021245873,0.5915197906831111,early,dew,R1,Low Moisture
Gammaproteobacteria unclassified,Hemicellulose-Galactomannan,Otu0001,SRR7969097,PRJNA494847,11847091.2,0.21803789586730718,0.8095576865504183,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0003,SRR7969097,PRJNA494847,54229448,0.3082202532152446,0.3082202532152446,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xylan,Otu0004,SRR7969097,PRJNA494847,50304360,0.2859114954854569,0.5941317487007015,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0003,SRR7969097,PRJNA494847,27114724,0.1541101266076223,0.7482418753083238,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xylan,Otu0004,SRR7969097,PRJNA494847,20121744,0.11436459819418278,0.8626064735025066,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0004,SRR7969097,PRJNA494847,32549880,0.3260244597997276,0.3260244597997276,early,dew,R1,Low Moisture
Sphingomonadaceae unclassified,Hemicellulose-Xyoglucan,Otu0003,SRR7969097,PRJNA494847,29200472,0.2924762889969816,0.6185007487967091,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0003,SRR7969097,PRJNA494847,14600236,0.1462381444984908,0.7647388932952,early,dew,R1,Low Moisture
Sphingomonas,Hemicellulose-Xyoglucan,Otu0004,SRR7969097,PRJNA494847,13019952,0.13040978391989103,0.895148677215091,early,dew,R1,Low Moisture
